method_name,count
Instrumental - RM Young Ultrasonic Anemometer Model 81000,2610
R&P Model 2000 PM10 Teflon - ICP/MS,2568
Anderson RAAS2.5-100 Sampler - Barometric Sensor,2486
Anderson RAAS2.5-100 Sampler - Electronic,2485
PRECONCENTRATION TRAP - CHROMPACK AUTOMATED GC- SUBAMB FID,2483
HI-Vol/PUF & XAD-2 - TO-13- EPA610- EPA625,2470
R & P Model 2000 PM-2.5 FEM Air Sampler - Calculation,2437
DNPH-COATED CARTRIDGES - HPLC (TO-14),2411
Anderson RAAS2.5-100 Sampler - Calculation,2392
INSTRUMENTAL - COULOMETRIC,2328
R&P FRM PM2.5 mod for PM10 - X-ray Fluorescence,2324
SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON GC/MS,2313
INSTRUMENTAL - COMPUTED(INDIRECT),2264
6L PRESSURIZED CANISTER - ENTECH PRECON - SATURN II GC/FID,2253
Hi Vol Puf (PS-1) - High resolution GC - ECD (Electron Capture Detector) ,2250
Instrumental - Met One 083D,2243
Instrumental - Nephelometer,2135
INSTRUMENTAL - SUM OF PEAKS,2131
R & P Model 2000 PM-2.5 FEM Air Sampler - Barometric Sensor,2107
R & P Model 2000 PM-2.5 FEM Air Sampler - Electronic,2104
R&P Model 2000 Partisol - GRAVIMETRIC,2061
GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,2014
Instrumental - Electronic or Machine average,1998
INSTRUMENTAL- - COMPUTED(INDIRECT),1986
INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 2,1968
Hi Vol/PUF - GCMS TO-13,1955
Heated Tipping Bucket - Instrument,1952
LO-VOL-DICHOTOMOUS-SA246B-INLT - GRAVIMETRIC,1928
INSTRUMENTAL - VISUAL AVERAGE,1881
Instrumental - Vaisala 435C RH/AT Sensor,1879
6L Pressurized Canister - Precon HP GC/MS,1874
SKC Pump Filter - MOd NISH 7300/6010B SOP 1813,1840
CARTRIDGE-DNPH-SILICA-SEP-PAK - HPLC-PHOTODIODE ARRAY,1809
INSTRUMENTAL - FLAME IONIZATION,1809
Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,1796
preconcentrator trap/thermal desorber - electronic drier - Markes CIA TD/Agilent GC dual FID - carbon response,1781
Hi Vol/PUF-XAD-2 - GCMS-SIM Modified TO-13A,1780
Radiance Research M903 With Heated Inlet - Nephelometry,1778
URG 3000N w/Pall Quartz filter and Cyclone Inlet - IMPROVE_A TOT w/CSN urban adjustment,1762
URG 3000N w/Pall Quartz filter and Cyclone Inlet - OC1+OC2+OC3+OC4+(OP(TOT))=(88324+88325+88326+88327+88379),1762
URG 3000N w/Pall Quartz filter and Cyclone Inlet - EC1+EC2+EC3-(OP(TOT))=(88329+88330+88331-88379),1762
MetOne SASS/SuperSASS Teflon - Sample Volume,1756
URG 3000N w/Pall Quartz filter and Cyclone Inlet - OC1+OC2+OC3+OC4+OP (88324+88325+88326+88327+88328),1756
MetOne SASS/SuperSASS Nylon - Sample Flow Rate CV,1756
Met One SASS/SuperSASS Teflon - Sample Flow Rate CV,1756
URG 3000N w/Pall Quartz filter and Cyclone Inlet - EC1+EC2+EC3-OP (88329+88330+88331-88336),1756
MetOne SASS/SuperSASS Nylon - Sample Volume,1754
URG3000N - Sample Flow Rate CV,1750
URG3000N - Sample Volume,1750
URG 3000N - Barometric Sensor,1750
URG 3000N - Electronic,1750
BGI Models PQ200-VSCC or PQ200A-VSCC - Electronic,1741
BGI Models PQ200-VSCC or PQ200A-VSCC - Barometric Sensor,1741
Tisch Environmental 6000 Series - ICP-MS,1721
Hi-Vol - Inductively Coupled Plasma-Mass Spectrometry Acid filter extract with hot nitric acid,1689
6L PRESSURIZED CANISTER - ENTECH PRECON - HP GC/FTIR/MS,1663
Hi Vol SA/GMW 321B - ICP/MS,1663
HI-VOL/PUF-XAD - GC-MS-SIM,1660
BGI Model PQ200 PM2.5 Sampler - Barometric Sensor,1651
BGI Model PQ200 PM2.5 Sampler - Electronic,1651
HI-VOL - COLORIMETRIC,1638
Andersen RAAS Quartz - STN TOT,1616
HI-VOL - REDUCTION-DIAZO COUPLING,1580
PM2.5 SCC - FDMS-Gravimetric,1553
IMPROVE Module C with Cyclone Inlet-Quartz Filter - OC1+OC2+OC3+OC4+OP (88324+88325+88326+88327+88328),1533
URG 3000N w/Pall Quartz filter and Cyclone Inlet - IMPROVE TOT,1502
URG 3000N w/Pall Quartz filter and Cyclone Inlet - OC1+OC2+OC3+OC4+OP (88374+88375+88376+88377+88388),1502
URG 3000N w/Pall Quartz filter and Cyclone Inlet - EC1+EC2+EC3-OP (88329+88330+88331-88388),1502
TEDLAR BAG - PACKED COLUMN GC - ECD/PID,1474
INSTRUMENTAL - FLAME PHOTOMETRIC,1462
Calculated from Met One SASS/SuperSASS Teflon - Soil = 2.2*[88104]+2.49*[88165]+1.63*[88111]+2.42*[88126)+1.94*[88161],1454
Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,1446
AUTOMATED ANALYZER - ULTRAVIOLET FLUORESCENCE,1434
LOW LEVEL NOX INSTRUMENTAL - TECO 42S CHEMILUMINESCENCE,1421
ATEC 2400 W/Waters Silica DNPH - HP LC-1050 W/Diode Array Detector,1406
GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1400
HI-VOL-SA321A - GRAVIMETRIC,1395
INSTRUMENTAL - BAROMETRIC PRESSURE TRANSDUCER,1376
INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,1367
"6 L SS Canister Subamb press, passive coll - GC/Mass Spectro",1354
BGI Model PQ200 PM2.5 Sampler - Calculation,1323
Teledyne T640 at 5.0 LPM - Broadband spectroscopy,1305
Andersen RAAS Nylon - Ion Chromatography,1296
DNPH-COATED CARTRIDGE - HPLC (TO-14),1293
Virtual Impactor - FDMS-Gravimetric 1405-DF,1292
BGI Models PQ200-VSCC or PQ200A-VSCC - Calculation,1272
"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - LRNC Method",1260
HI-VOL - TURBIDIMETRIC,1233
LO-VOL-XONTECH 920 or 924 - ION CHROMATOGRAPH UV VISIBLE,1223
BGI Inc. Model PQ200 PM10 - Gravimetric,1211
HI-VOL-SA/GMW-321B - EMISSION SPECTRA ICAP,1211
Hi-Vol-Wedding Inlet - X-Ray Fluorescence,1199
Calculated from Met One SASS/SuperSASS (Teflon and Nylon) and URG 3000N (Quartz) - RCFM = 4.125*[88169]+1.29*[88306]+[88348]+1.8*[88203]+[88321]+1.4*[88320],1197
Instrumental - RM Young Ultrasonic Anemometer Model 86004,1196
6L SUBAMBIENT SS-CANISTER - INCOS 50XL GC/MS,1176
INSTRUMENTAL - UV RADIOMETER (PHOTOMETER),1161
Met One SASS/SuperSASS Quartz - IMPROVE_A,1155
Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,1146
SKC Pump XAD-2 SORBENT Tube - GC/MS NIOSH 5515 REAC SOP 1817,1142
INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,1137
SS-Canister_Pressurized - Capillary GC ITD Mass Spectro,1129
R&P MDL2300 PM2.5 Seq Spec Quartz - STN TOT,1119
Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,1106
INSTRUMENTAL HY-CAL ENGINEERIN - ELEC AVG RTD LINEAR BRIDGE AMPLIFIE,1098
Thermo Scientific Partisol-Plus Model 2025 Sequential Sampler Pair - Paired Gravimetric,1088
Tisch Environ Model-6070 PM10 Hi-Vol - Gravimetric,1085
HI-VOL-SA/GMW1200 - ION CHROMATOCHRPH CONDUCTIMETRIC,1070
Model 2025 Dichot Sequential Teflon - Energy Dispersive XRF,1056
R & P Model 2025 PM2.5 Sequential Teflon VSCC - ION CHROMATOGRAPHY,1050
INSTRUMENTAL - VECTOR SUMMATION LEVEL 4,1029
HI-VOL - ATOMIC ABSORPTION (AA) FRM,1029
PM2.5 VSCC - FDMS-Gravimetric,1028
INSTRUMENTAL - NONDISPERSIVE INFRARED PHOTOMETRY,1026
R - P Co Partisol Model 2025 - Electronic,994
R - P Co Partisol Model 2025 - Barometric Sensor,992
R&P Model 2025 PM10 Teflon - ICP/MS,992
T A Series FH 62 C14 Continuous - Beta Attenuation,978
Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,971
Teledyne Model T500U - Cavity Attenuated Phase Shift Spectroscopy,940
ERG Chromium VI sampler - ION CHROMATOGRAPH UV VISIBLE,925
R&P MDL2300 PM2.5 SEQ SPEC NYL - ION CHROMATOGRAPHY,904
Instrumental - Vaisala HMP 155,903
TIPPING BUCKET - METONE 8 HEATD RAIN GAUGE 375,894
Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,863
SS 6L- Pressurized Canister - Cryogenic Precon: GC/MS,861
Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,844
Met One BAM-1020 System - Paired Beta Difference,824
IMPROVE Module C with Cyclone Inlet-Quartz Filter - EC1+EC2+EC3-OP (88329+88330+88331-88336),816
ATEC 2400 W/WATERS SILICA DNPH - HP LC-1050 W/DIODE ARRAY DETECTOR,801
URG MASS400 Teflon WINS - Ion Chromatography,794
INSTRMENTL-ANDRSEN-SA246B-INLT - BETA-ATTENUATION,778
OR Med-Vol TSP Teflon - X-ray Fluorescence,778
Met One SASS Quartz - Thermal Optical Transmittance,774
Andersen RAAS - Electronic,765
Andersen RAAS - Barometric Sensor,765
R - P Co Partisol Model 2025 - Calculation,764
R & P Model 2025 PM2.5 Sequential Quartz VSCC - STN TOT,764
ATEC 2400 W/WATERS SILICA DNPH - Liquid Chromatography  w/diode array detection,755
Wedding & Ass. Model 600 PM10 HiVol - ICP-MS,752
INSTRUMENTAL - FLUORESCENCE DETECTION,742
R & P MODEL 2025 PM2.5 SEQUNTL - GRAVIMETRIC,740
SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON:GC/MS,723
6L PRESSURIZED CANISTER - PACKED COLUMN GC - ECD/PID,722
6L SUBATM CANISTER - Entech Precon-  GC/FID/MSDD,717
PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 30 deg C,713
Magee Scientific TAPI M633 Aethalometer - Optical absorption,705
Thermo Electron Model RAAS2.5-100 w/VSCC - Gravimetric,700
TAPE-SAMPLER - TRANSMITTANCE,699
INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE,695
Instrumental - Chemiluminescence,694
URG MASS450 Quartz WINS - STN TOT,681
HI-VOL-WEDDING-INLET - EMISSION SPECTRA ICAP,680
Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,665
Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC - FDMS Gravimetric,653
RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,646
Hi-Vol-SA/GMW-1200 - X-Ray Fluorescence,642
INSTRUMENTAL - ENTECH 2000 W/MS/FID,640
Teledyne T640X at 16.67 LPM - Broadband spectroscopy,632
Instrumental - Electronic or machine average,610
Instrumental - RM Young Sonic Anemometer 85004,607
Met-One BAM W/PM2.5 VSCC - Beta Attenuation,606
Instrumental - Off Site Avg.Temperature,606
HI-VOL-SA/GMW-321-B - Emission Spectra ICAP,605
RM Young 81000 - Sonic Temperature,602
Instrumental - Off Site Avg.  pressure,602
INSTRUMENTAL - VECTOR SUMMATION LEVEL 1,590
HI-VOL-SA/GMW-321-B - COLORIMETRIC,583
INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 3,577
ANDERSON RAINFALL BUCKET - ION CHROMATOGRAPH CONDUCTIMETRIC,572
6L SS CANISTER-PRESSURIZED - CRYOGENIC PRECON FLAME IONI(PDFID),567
LEAD-CANDLE - COLORIMETRIC (NASN),565
Instrumental - Met One AIO2 Sonic Weather Sensor,564
PERSONAL-PUMPS - TENAX DESORPTION GC/MS,562
Instrumental - 3 Element thermistor,555
INSTRUMENTAL - TEI 55:NMOC CAL GAS = PROPANE,553
INSTRUMENTAL - ARITH STD DEV LEVEL 2,541
Instrumental - Gas Phase Chemiluminescence,539
R&P MDL2300 PM2.5 SEQ SPEC - CALCULATION,534
R&P MDL2300 PM2.5 SEQ SPEC - BAROMETRIC SENSOR,534
Thermo Scientific TEOM 1405-DF Dichotomous FDMS - FDMS Gravimetric,531
R & P Model 2025 PM2.5 Sequential Quartz - STN TOT,529
Passivated Canister - Cryogenic Preconcentration FID,527
HI-VOL - THIN LAYER CHROMATOGRAPHY,524
MODEL 425AH - ULTRA SONIC WIND SENSOR,519
"IMPROVE Module D with Cyclone Inlet-Quartz Filter, 2.2 sq. cm. - Ion Chromatography",514
"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",512
Hi-Vol - ICP-MS  Extracted on a hot plate with 3M HNO3 according to refrn methd.  SW-846 Meth 6020A,498
HI-VOL - EMISSION SPECTRA ICAP (ICP-OES),494
PM2.5 VSCC w/No Correction Factor - TEOM Gravimetric 30 deg C,489
Magee AE33/ TAPI M633 Aethalometer - Optical absorption,481
INSTRUMENTAL - ULTRAVIOLET RADIATION ABSORBTN,471
Magee Scientific AE21ER Aethalometer - Optical absorption,468
PRECIP - COLORIMETRIC,467
6L Pressurized Canister - Entech Precon w/Agilent GC/MS/FID,464
Instrumental - UV absorption photometry/UV 2B model 202 and 205,464
PM2.5 VSCC w/No Correction Factor - TEOM Gravimetric 50 deg C,463
R & P Model 2025 PM2.5 Sequential Teflon - ION CHROMATOGRAPHY,456
Met One SASS Quartz - IMPROVE TOR w/ Adjustment,455
Sunset Labs - TOT,445
TEDLAR-BAG-24-HR-SAMPLE - GC - ELECTRON CAPTURE DETECTOR,435
HI-VOL - METHYLTHYMOL BLUE,415
Hi-Vol-SA/GMW-321B - X-Ray Fluorescence,413
PRECIP - ATOMIC ABSORPTION,411
Cartridge-DNPH-on silica - HPLC Ultraviolet Absorption,409
preconcentrator trap/thermal desorber - electronic drier - Markes Unity TD/Agilent GC dual FID - carbon response,397
INSTRUMENTAL - TVA PREVAILING AVERAGE,393
Instrumental - RM Young Model 05103,392
Andersen BAM w/PM2.5 SCC - Beta Attenuation,387
HI-VOL-SA/GMW-321-B - REDUCTION-DIAZO COUPLING,379
OREGON-DEQ-MED-VOL - GRAVIMETRIC-QUARTZ FILTERS,378
HI-VOL - Flameless Atomic absorption,376
Instrumental - Ultraviolet Fluorescence EC9850T,375
Met-one BAM-1020 W/PM2.5 SCC - Beta Attenuation,374
INSTRUMENTAL - VECTOR SUMMATION LEVEL 2,372
INSTRUMENTAL - ULTRAVIOLET ABSORPTION,369
HI-VOL-SA/GMW-321-B - ION CHROMATOGRAPH CONDUCTIMETRIC,359
"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - Hybrid Integrating Plate Method",357
URG MASS400 WINS - Barometric Sensor,354
URG MASS400 WINS - Electronic,354
Hi Vol Anderson IP1076 - ICP/MS,352
IMPROVE Calculation of Sea Salt (SSf) - Calculation,348
Magee Scientific AE2100 Aethalometer - Optical absorption,344
Hi-Vol - Flameless Atomic absorption (GFAA); 3M HNO3 Boil 30 min,340
HI-VOL - ICAP SPECTRA (ICP-MS),338
Cooper Environmental Services model Xact 620 - X-ray fluorescence (XRF),334
HI-VOL-SA/GMW-321-B - ATOMIC ABSORPTION,331
MCE Filter - Modified TEM AHERA,330
Instrumental - Chemiluminescence Ecotech EC9843,330
Teledyne API T640 at 5.0 LPM - Broadband spectroscopy,327
Hi Vol PUF/XAD - GC-MS,322
Thermo Scientific 1405-DF Dichotomous FDMS - FDMS Gravimetric,320
INSTRUMENTAL - 8202/8202A:NMOC CAL GAS = PROPANE,318
Met One SASS 22 LPM Quartz - IMPROVE_A,315
HI-VOL - HEATED ULTRASONIC HNO3/HCL EXTRACTION WITH ICP-AES,314
HI-VOL - EMISSION SPECTRA  MUFFLE FURNACE,313
Preconcentrator trap/thermal desorber - no drier - CAS AirmOzone - benzene response - factor adjusted,309
Instrumental - Visual average,305
SS-CANISTER PRESSURIZED - GAS CHROMATOGRAPH MASS SPECTRO,298
